timestamp,thermistor,pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,people_number,confidence
16_23_55.114198,30.3125,25,25,24.5,26,25.25,24.5,25.5,26,25,25,25.75,24.5,25.25,25.75,25.5,25.75,25.25,25.25,26.25,24.75,25.25,25.25,26,26,25,25.5,25.5,24.75,25.5,26,25,26.25,25.75,25.25,25.5,25.25,25.5,25,26,25.5,25,24.75,25,25.5,26.25,24.5,25.5,26.25,25.25,25.5,25.25,25.75,25,25.5,25.5,26.5,25.5,26,26.25,25.5,25.25,26.25,25.5,26.5,0,e
16_23_55.239933,30.3125,25.75,25.25,25,25.25,25.25,25.5,25.75,25.75,24.5,25,25.5,24.75,25.25,25.5,25.25,25.25,25.25,25.5,25.5,25,25,26,25.75,26.75,25.5,25.25,25.5,24.75,25.5,25,25.5,25.75,26,25.25,25.5,25.75,25.25,25.5,25.5,25.25,25.5,25.75,24.75,25.25,25.25,25,26,26.5,25.5,25.75,25.5,25.25,25.25,26,24.75,26,25.5,25.25,25.75,25.5,25.5,26.5,26.25,27,0,e
16_23_55.344160,30.3125,25.75,25,25,25.25,25,25.5,25.75,25.5,24.75,25,25.25,25,24.75,25.5,26,26,25.5,25.5,26.25,25,24.75,25,25.5,26,25.5,25,25.75,25.5,25.5,25.25,25,26,25.25,25.25,25.75,25.25,24.25,25,25.25,25.75,25.75,25.5,24.75,26,24.75,25.75,25.5,26.25,25.5,25.25,26,25.5,25,25.75,25.75,26,24.5,25.5,25.5,25.25,26,26,25.75,26.75,0,e
16_23_55.433918,30.3125,25.25,25.25,24.5,26.25,25.5,25.5,25.25,26,25.25,25,25.5,25.25,24.75,25.25,26,25.75,25,25,25.75,25.25,25,25.75,25.75,25.75,25.75,25.25,25.25,25,25.25,25.75,25.5,26.25,25.25,26,25.25,24.75,24.75,25.25,25.5,25.5,25.25,25.5,25,25.25,25.75,25.5,25.5,25.75,24.75,25,25.75,25,25.5,25.5,25.75,26,24.75,25.5,26,25.5,25.5,26,25.5,26.5,0,e
16_23_55.515251,30.3125,25,25,25,25.25,25.75,25.5,25.75,25.75,25,25,25.5,25.25,24.5,25,25.25,25,25.75,25,25.5,25,24.75,25.5,25.75,25.75,25.75,25,25,25,25.5,25,25.25,26.25,25.75,25,25.5,25.5,25.5,24.75,25.25,25.75,25.5,25.25,25,25.25,25.75,24.75,26.25,26.5,24.5,25,25.75,25,24.5,26,24.5,25.25,25.5,25.5,26.5,25.5,24.5,26.25,25.25,26.25,0,e
16_23_55.615468,30.3125,25.5,25.25,25.25,26,24.5,25.25,26,26.5,25,24.5,25.5,25.25,24.5,26,25.5,25.75,25.25,25.75,25.5,25.5,25.25,25.75,25.75,26,25.5,24.75,25,25.25,25.25,25.5,25.25,26.25,26.5,25.25,25.75,25.25,25.25,25.25,25.75,25,26,25.5,25.5,25.5,25.25,25,26,26.75,25.75,25,26.25,25.25,25.25,26,25,25.75,25,25.5,25.75,25.5,26.75,26.25,26,26.5,0,e
16_23_55.715734,30.3125,25.5,25.25,25.25,25.5,24.5,25,25,26,25.25,25.25,26,25,25,25.75,25.75,25.75,25,25.25,25.5,25.5,25,25.75,25.5,26.5,24.75,25.5,25,25.25,25.25,25,25.25,26.25,25.25,25.25,25.75,25,25.5,24.5,26.25,24.75,26.25,25,25,25.5,25.25,25.5,26.25,26.5,25.5,25.75,25.75,25.5,25,25.75,25.5,25.5,24.75,25,26.25,25.5,25.75,26.25,25.25,26.25,0,e
16_23_55.815912,30.3125,25.25,25.5,25,25.5,24.5,25,25,26.25,25,24.75,25.25,25.75,25,25.75,24.75,26.25,25,25.25,25.75,25,24.75,25,25.25,26.25,25,25.25,25.75,25.5,25.25,25.25,25.75,26,25,25.5,25.25,25.25,25.25,25.5,25.75,25.25,25,25.5,25.25,25.5,24.5,24.5,26.5,26.5,24.75,25.75,25.75,25.75,24.75,25.5,25.25,25.5,25,26,26,25,25.75,26.25,26.25,26,0,e
16_23_55.916047,30.3125,26,25.25,25,25.25,25.5,25.5,25,26.25,25,24.75,25.5,25.5,24.25,24.75,25.5,25.75,25.75,25.5,25.5,25.5,25.25,25.5,25.75,26,25.5,25.25,25.75,24.75,25.5,25.75,25.25,26,26,25.5,26,25.25,25.5,25,25.5,24.5,25,25.5,24.75,25.75,25,25,25.5,26,25.25,25.25,25.25,25,25,25.5,24.5,26,25,25.75,25.5,26.25,25.5,26.5,26.25,25.75,0,e
16_23_56.016242,30.3125,24.75,26.25,25.75,25.75,24.75,25.75,25,26.5,24.75,25,25.5,25.5,24.25,25.5,25,25.75,25.5,25.5,25.25,25.25,25,25,25.25,25.5,25.75,24.5,25.25,25,25.75,25.25,25.25,25.25,25,25.25,25.75,24.75,25.5,24.5,25.25,24.5,26.25,25.5,25,25.5,25,25,25.75,26.25,25.5,25.5,25.25,25.5,25.25,25.5,25.75,25.5,24.5,24.75,25.75,25,25.25,25.25,25,25.75,0,e
